13215	amont
13216	amoral
13221	amorce
13222	amour
13223	ampere
13224	amphi
13225	ample
13226	ampli
13231	amusie
13232	amyle
13233	an
13234	ana
13235	anal
13236	anale
13241	ananas
13242	anche
13243	ancien
13244	ancre
13245	andain
13246	andin
13251	andine
13252	aneth
13253	ange
13254	angine
13255	angle
13256	anglet
13261	angon
13262	angor
13263	angora
13264	animal
13265	anion
13266	anis
13311	annal
13312	annale
13313	anneau
13314	annee
13315	annexe
13316	annone
13321	annuel
13322	anode
13323	anodin
13324	anomal
13325	anomie
13326	anorak
13331	anoure
13332	anse
13333	ansee
13334	antan
13335	ante
13336	antre
13341	anurie
13342	anus
13343	ao
13344	aorte
13345	ap
13346	apache
13351	aparte
13352	apex
13353	aphone
13354	aphte
13355	api
13356	apical
13361	apiol
13362	apion
13363	aplat
13364	aplomb
13365	apnee
13366	apode
13411	apogee
13412	aporie
13413	appas
13414	appeau
13415	appel
13416	apport
13421	appui
13422	apres
13423	apside
13424	apte
13425	aptere
13426	aq
13431	aqueux
13432	ar
13433	ara
13434	arabe
13435	arable
13436	araire
13441	aramon
13442	arbre
13443	arc
13444	arcade
13445	arcane
13446	arceau
13451	archal
13452	arche
13453	archer
13454	archet
13455	arcure
13456	ardent
13461	ardeur
13462	ardu
13463	ardue
13464	are
13465	arec
13466	arene
13511	areole
13512	argas
13513	argent
13514	argile
13515	argon
13516	argot
13521	argus
13522	aria
13523	aride
13524	arien
13525	arille
13526	arioso
13531	armada
13532	arme
13533	armet
13534	armon
13535	armure
13536	arnica
13541	aronde
13542	arpege
13543	arpent
13544	arpete
13545	arpion
13546	arrhes
13551	arrobe
13552	arroyo
13553	ars
13554	arsin
13555	arsine
13556	art
13561	artel
13562	artere
13563	arum
13564	aryen
13565	aryle
13566	as
13611	ascese
13612	ascete
13613	ascite
13614	asexue
13615	ashram
13616	asile
13621	aspe
13622	aspect
13623	aspic
13624	asque
13625	assai
13626	assaut
13631	asse
13632	assez
13633	assidu
13634	astate
13635	aster
13636	asthme
13641	asti
13642	astral
13643	astre
13644	astuce
13645	at
13646	ataxie
13651	atele
13652	athee
13653	atlas
13654	atoll
13655	atome
13656	atonal
13661	atone
13662	atonie
13663	atour
13664	atours
13665	atout
13666	atrium
14111	atroce
14112	au
14113	aubade
14114	aube
14115	aubere
14116	aubier
14121	aubin
14122	auburn
14123	aucuba
14124	aucun
14125	aucune
14126	audace
14131	audio
14132	audit
14133	auge
14134	auget
14135	augure
14136	aulne
14141	aune
14142	aupres
14143	auquel
14144	aurige
14145	aurore
14146	aussi
14151	autant
14152	autel
14153	auteur
14154	auto
14155	autour
14156	autre
14161	autrui
14162	auvent
14163	auxine
14164	av
14165	aval
14166	avance
14211	avanie
14212	avant
14213	avare
14214	avarie
14215	avatar
14216	avec
14221	aven
14222	avenir
14223	avenu
14224	avenue
14225	avers
14226	averse
14231	aveu
14232	avide
14233	avion
14234	aviron
14235	avis
14236	aviso
14241	avocat
14242	avoine
14243	avril
14244	aw
14245	ax
14246	axe
14251	axile
14252	axiome
14253	axis
14254	axone
14255	axonge
14256	ay
14261	az
14262	azalee
14263	azimut
14264	azote
14265	azotee
14266	azur
14311	azure
14312	azygos
14313	azyme
14314	b
14315	baba
14316	babil
14321	babine
14322	baby
14323	bac
14324	bachot
14325	bacon
14326	bacul
14331	badge
14332	badine
14333	baffer
14334	baffle
14335	bagad
14336	bagage
14341	bagne
14342	bagou
14343	bagout
14344	bague
14345	baguer
14346	bah
14351	bahut
14352	baie
14353	bail
14354	bailli
14355	bain
14356	baiser
14361	bajoue
14362	bal
14363	balade
14364	balai
14365	balane
14366	balata
14411	balcon
14412	bales
14413	ballet
14414	ballon
14415	ballot
14416	balsa
14421	balte
14422	bambin
14423	bambou
14424	ban
14425	banale
14426	banane
14431	banc
14432	banche
14433	banco
14434	bander
14435	bandit
14436	bang
14441	banian
14442	banjo
14443	banlon
14444	banner
14445	bannir
14446	banque
14451	baobab
14452	baquet
14453	bar
14454	baraka
14455	barbe
14456	barber
14461	barbet
14462	barbon
14463	barbue
14464	bard
14465	barder
14466	bardis
14511	bardot
14512	bareme
14513	barge
14514	baril
14515	barman
14516	barmen
14521	barn
14522	baroud
14523	barouf
14524	barque
14525	barrer
14526	barrot
14531	barye
14532	baryon
14533	baryte
14534	baryum
14535	bas
14536	basale
14541	basane
14542	base
14543	baser
14544	basic
14545	baside
14546	basin
14551	basket
14552	basque
14553	basse
14554	basset
14555	bassin
14556	basson
14561	baste
14562	bastos
14563	bateau
